tenant_id,source_product_id,source_name,category,source_unit,source_stockUnit,final_code,target_action,unit_semantics,evidence_sources,evidence_type,confidence,status,owner_required
comp_1777895277336,prod_1779104073246,Gà Sống,Gà,Kg,Cái,HD-LIVE-GA-1779104073246,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104101173,Gà Móc,Gà,Kg,Kg,HD-PROCESSED-GA-1779104101173,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104118174,Gà Không Móc,Gà,Kg,Cái,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104146701,Gà Móc Sạch,Gà,Kg,Cái,HD-PROCESSED-GA-1779104146701,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104170597,Gà Móc Sạch Cắt Chân,Gà,Kg,Cái,HD-PROCESSED-GA-1779104170597,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104205565,Vịt Sống,Vịt,Kg,Cái,HD-LIVE-VIT-1779104205565,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104224062,Vịt Không Móc,Vịt,Kg,Kg,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104241550,Vịt Móc,Vịt,Kg,Cái,HD-PROCESSED-VIT-1779104241550,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104268878,Vịt Móc Sạch,Vịt,Kg,Cái,HD-PROCESSED-VIT-1779104268878,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104293541,Vịt Móc Sạch Cắt Chân,Vịt,Kg,Cái,HD-PROCESSED-VIT-1779104293541,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104313397,Vịt Bọng,Vịt,Kg,Cái,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104330830,Cánh Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104330830,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104342214,Đùi Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104342214,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104360773,Đùi Tỏi,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104360773,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104371789,Ức Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104371789,OWNER_REVIEW,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104388678,Gà Bọng,Gà Công Nghiệp,Kg,Cái,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104406958,Chân Gà,Chân,Kg,Cái,HD-BYPRODUCT-1779104406958,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104421262,Chân Vịt,Chân,Kg,Cái,HD-BYPRODUCT-1779104421262,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104434102,Đầu Gà,Phụ,Kg,Cái,HD-BYPRODUCT-1779104434102,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104446485,Đầu Vịt,Phụ,Kg,Cái,HD-BYPRODUCT-1779104446485,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104459006,Đầu Vịt Dài,Phụ,Kg,Cái,HD-BYPRODUCT-1779104459006,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104474430,Lòng Gà,Lòng,Bộ,Bộ,HD-BYPRODUCT-1779104474430,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_UOM,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104486206,Lòng Vịt,Lòng,Bộ,Bộ,HD-BYPRODUCT-1779104486206,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_UOM,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104526942,Thùng Xốp,Phụ,Cái,Cái,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
