tenant_id,source_product_id,name,decision_type,current_value,proposed_value,owner_action,owner_note
comp_1777895277336,prod_1779104073246,Gà Sống,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104073246,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104101173,Gà Móc,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104101173,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104118174,Gà Không Móc,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104118174,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104146701,Gà Móc Sạch,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104146701,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104170597,Gà Móc Sạch Cắt Chân,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104170597,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104205565,Vịt Sống,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104205565,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104224062,Vịt Không Móc,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104224062,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104241550,Vịt Móc,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104241550,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104268878,Vịt Móc Sạch,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104268878,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
comp_1777895277336,prod_1779104293541,Vịt Móc Sạch Cắt Chân,TENANT_MAPPING_AND_TARGET_PRODUCT,source_tenant=comp_1777895277336; source_product_id=prod_1779104293541,TARGET_TENANT_OWNER_REVIEW; TARGET_PRODUCT_OWNER_REVIEW,PROVIDE_APPROVED_TARGET_TENANT_AND_TARGET_PRODUCT_ACTION,"Source company=HD Co.Ltd; tenant mapping status=OWNER_REVIEW; target tenant identity absent from supplied evidence; choose KEEP_EXISTING_TARGET, CREATE_TARGET, OWNER_REVIEW or REJECT only after target identity is supplied; do not use tenant name or source ID as target identity"
